Acceleration_MPerS2_1X;Acceleration_MPerS2_1Y;Acceleration_MPerS2_1Z;Acceleration_MPerS2_2X;Acceleration_MPerS2_2Y;Acceleration_MPerS2_2Z
-3,18;5,45;-9,63;-7,29;13,69;-2,18
-0,29;5,91;-10,44;1,32;13,62;3,2
-0,06;9,01;-10,22;5,19;8,82;-3,13
0,84;6,48;-6,79;1,93;2,57;-0,28
-0,68;3,84;-7,69;-1,75;5,06;2,32
-1,62;6,34;-9,23;-3,69;15,89;-0,2
1,36;4,54;-4,41;1,35;8,71;2,86
-1,43;3,21;-3,09;3,43;9,56;-1,06
-1,65;4,73;-6,41;2,71;14,84;-2,04
1,58;5,38;-10,16;1,23;4,3;-1,06
-1,99;7,84;-9,97;-7,92;8,33;-4,53
-2,7;6,85;-7,56;-6,11;16,74;1,49
-0,21;6,6;-9,53;3,58;14,36;0,54
0,56;8,81;-8,29;3,18;7,93;-2,92
0,8;5,79;-5,71;0,86;2,38;3,25
-2,2;4,77;-7,84;-3,02;12,64;-0,42
-0,99;4,93;-7,53;-2,33;16,03;0,93
1,6;2,73;-3,37;2,73;8,46;5,23
-2,22;3,28;-2,18;2,23;13,74;-2,64
-1,3;3,71;-8;3,45;10,53;-1,09
1,32;5,38;-11,26;-2,48;4,34;-0,82
-2,05;6,77;-8;-9,4;13,86;-2,42
-1,92;4,87;-8;-1;16,56;4,18
0,69;7,1;-9,87;3,35;10,83;-1,62
1,75;8,87;-8,08;1,79;4,58;-1,7
1,43;4,43;-6,14;-0,12;5,43;4,07
-1,07;3,85;-8,17;-4,45;15,79;-0,66
0,67;5,37;-7,62;-0,28;11,18;3,3
1,46;3,13;-2,31;2,82;7,74;0,67
-2,19;3,63;-3,51;2,01;15,18;-4,2
0,51;3,84;-9,61;2,97;5,85;0,97
1,35;4,68;-11,7;-4,57;4,79;-4,34
-2,92;7,47;-9,35;-6,31;16,11;-0,33
-1,32;5,1;-8,69;2,35;13,83;3,19
0,82;7,14;-11,36;3,85;8,48;-4,67
1,58;8,03;-8,69;1,59;2,24;2,18
1,15;2,36;-7,01;-2,31;7;1,02
-1,33;5,32;-10,35;-3,33;15,47;-0,8
1,12;5,7;-6,8;1;7,76;4,79
0,93;2,67;-2,44;2,02;10,71;-4,27
-2,59;4,88;-5,32;4,22;12,11;-2,74
0,55;3,97;-10,22;0,98;1,63;-0,87
0,71;5,95;-11,26;-6,62;9,67;-5,06
-2,49;6,84;-8,64;-1,47;16,55;2,96
-0,95;5,16;-9,88;4,24;10,71;-1,08
0,8;8,99;-11,09;3,74;4,1;-2,31
1,98;6,94;-8,12;1,47;1,31;3,75
0,19;2,94;-8,32;-3,55;12,82;-1,97
-1,56;5,82;-9,87;-0,9;13,51;1,82
1,28;5,16;-6,21;2,29;5,21;1,98
-0,97;2,68;-2,73;1,34;12,37;-4,72
-2,58;4,21;-6,77;3,82;7,84;-1,17
1,58;4,93;-11,51;-2,27;2,65;-3,83
-0,49;5,85;-10,74;-6,92;13,8;-2,34
-2,94;6,56;-8,76;1,51;14,1;2,47
-0,83;6,33;-9,35;4,62;8,86;-2,75
0,46;8,78;-10,45;2,31;2,79;0,62
1,49;6,81;-8,06;-1,34;4,74;1,83
-0,62;3,89;-8,32;-4,01;17,36;-0,95
-0,61;5,61;-9,36;0,83;10,64;4,46
1,74;3,95;-3,71;2,22;7,79;-0,77
-2,07;4,17;-2,42;2,41;14,95;-3,27
-2,2;5,14;-7,5;1,63;5,2;0,29
1,14;4,19;-10,47;-6,79;7,44;-5,24
-2,03;6,34;-9,49;-4,14;17,31;0,73
-3,06;5,92;-7,11;3,5;13,98;2,13
-0,57;7,16;-8,9;2,09;8;-4,73
0,27;8,76;-8,95;1,4;1,98;3,21
0,81;4,3;-6,42;-2,47;11,35;1,25
-0,99;3,8;-8,27;-3,14;17,67;-0,56
